provincia_siis_id,siis_id,nombre
15,1,La Rioja
16,1,Ciud.Autonoma de Bs.As - CAPITAL FED.
17,1,General Acha
18,1,Rawson
18,2,Comodoro Rivadavia
18,3,Puerto Madryn
18,4,Esquel
19,1,RIO GALLEGOS
19,2,Puerto San Julián
19,3,PUERTO DESEADO
19,4,PICO TRUNCADO
19,5,Cmte. Luis Piedra Buena
19,6,LAS HERAS
20,1,USHUAIA
20,2,RIO GRANDE
21,1,LA PLATA
21,2,CAPITAL FEDERAL
21,3,AVELLANEDA
21,4,OLAVARRIA
21,10,CAÑUELAS
21,23,SAN MARTIN
21,24,BANFIELD
21,25,SAN ISIDRO
21,26,QUILMES
21,27,BAHIA BLANCA
21,28,MAGDALENA
21,29,AZUL
21,30,JUNIN
21,31,SAN NICOLAS
21,32,MERCEDES
21,33,MORON
21,34,LOMAS DE ZAMORA
21,35,CIUDAD AUTONOMA DE BS. AS.
21,36,TIGRE
21,37,MAR DEL PLATA
21,38,VILLA GESELL
21,39,CAMPANA
21,40,CORONEL ROSALES
22,1,NEUQUEN
22,2,ZAPALA
24,1,GUALEGUAYCHU
24,2,CONCORDIA
24,3,Concepción del Uruguay
24,4,Diamante
24,5,Parana
25,1,San Carlos de Bariloche
25,2,Viedma
70,1,MONTEVIDEO
80,1,SANTA FE DE BOGOTA (COL)
89,1,ASUNCION
90,1,MADRID
91,1,LIMA
95,1,LA PAZ
